Agent,Avg_Total_Reward,Std_Total_Reward,Avg_Energy_Cost,Avg_Lateness_Penalty,Avg_Jobs_Completed,Avg_Jobs_Late,Avg_Throughput
PPO,-30041.954973892643,4931.466339941647,1006.4680000000006,32611.74764055935,721.8,585.36,0.50125
FIFO,6690.106279111988,93.19455974123629,1700.0520000000001,21.910920887992813,1291.04,11.32,0.8965555555555556
Random,-30623.852043609888,5618.637210103545,1085.4930000000002,33951.01849360991,842.5,665.66,0.5850694444444444
