Agent,Avg_Total_Reward,Std_Total_Reward,Avg_Energy_Cost,Avg_Lateness_Penalty,Avg_Jobs_Completed,Avg_Jobs_Late,Avg_Throughput
PPO,1121.808828093137,16.27170483311141,-339.2,58.490299414492185,1424.5,98.1,0.9892361111111112
Random,-882.1563651754728,77.85717898244103,-269.83333333333394,1433.0125112787366,951.8,840.7,0.6609722222222223
FIFO,1166.0635209960594,9.963861047309377,-352.66666666666646,53.96981233727579,1427.0,89.3,0.9909722222222224
