step,current_time,current_time_norm,queue_length_norm,avg_waiting_time_norm,max_lateness_risk_norm,urgent_jobs_norm,energy_tariff_norm,energy_tariff,action_type,oven_id,num_panels,reward,action_validation_reward,launch_reward,heating_reward,wait_reward,energy_cost_penalty,lateness_penalty,completion_reward,queue_length,completed_jobs,total_reward,total_energy_cost,total_lateness_penalty,late_jobs_count,terminated,truncated,oven_0_busy,oven_0_heating,oven_0_cooling,oven_0_time_to_completion,oven_0_time_to_ready,oven_0_temperature,oven_1_busy,oven_1_heating,oven_1_cooling,oven_1_time_to_completion,oven_1_time_to_ready,oven_1_temperature
18,18.0,0.0125,0.17808087,0.14072649,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.07073136098211372,0.0,0.0,0.0,0.0,0.0,-0.07073136098211372,0.0,19,0,-0.18738978039219273,0.0,0.18738978039219273,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,19.0,0.013194445,0.18774621,0.14888503,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.08729358756678643,0.0,0.0,0.0,0.0,0.0,-0.08729358756678643,0.0,20,0,-0.2746833679589792,0.0,0.2746833679589792,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,20.0,0.013888889,0.19737533,0.15702336,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.10380769607419169,0.0,0.0,0.0,0.0,0.0,-0.10380769607419169,0.0,21,0,-0.3784910640331709,0.0,0.3784910640331709,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,21.0,0.014583333,0.2069665,0.16514042,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.12026476549593466,0.0,0.0,0.0,0.0,0.0,-0.12026476549593466,0.0,22,0,-0.4987558295291056,0.0,0.4987558295291056,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,22.0,0.015277778,0.21651806,0.17323516,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.13665599945505696,0.0,0.0,0.0,0.0,0.0,-0.13665599945505696,0.0,22,0,-0.6354118289841626,0.0,0.6354118289841626,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,23.000002,0.015972223,0.21651806,0.18935362,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.15297274461821042,0.0,0.0,0.0,0.0,0.0,-0.15297274461821042,0.0,22,0,-0.788384573602373,0.0,0.788384573602373,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,24.000002,0.016666668,0.21651806,0.20537068,0.9950548,0.14888503,0.33333334,0.5,0,0,0,-0.16920650845300902,0.0,0.0,0.0,0.0,0.0,-0.16920650845300902,0.0,22,0,-0.957591082055382,0.0,0.957591082055382,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,25.000002,0.017361112,0.21651806,0.22127847,0.9950548,0.14888503,0.33333334,0.5,0,0,0,-0.185348976255783,0.0,0.0,0.0,0.0,0.0,-0.185348976255783,0.0,22,0,-1.142940058311165,0.0,1.142940058311165,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,26.000002,0.018055556,0.21651806,0.23706937,0.9950548,0.24491866,0.33333334,0.5,0,0,0,-0.20139202738057643,0.0,0.0,0.0,0.0,0.0,-0.20139202738057643,0.0,23,0,-1.3443320856917416,0.0,1.3443320856917416,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,27.000002,0.01875,0.22602835,0.24219206,0.9950548,0.2913126,0.33333334,0.5,0,0,0,-0.21732775060629433,0.0,0.0,0.0,0.0,0.0,-0.21732775060629433,0.0,23,0,-1.5616598362980358,0.0,1.5616598362980358,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
