Agent,Mean_Reward,Std_Reward,Mean_Throughput,Std_Throughput,Mean_Energy_Cost,Std_Energy_Cost,Mean_Lateness_Penalty,Std_Lateness_Penalty,Mean_Completion_Rate,Std_Completion_Rate
Random,-395512.9271196377,42637.66203888012,609.45,48.51543568803644,268.83749999999947,10.53280441050713,395786.4119093443,42655.223349919776,0.4073758512293826,0.032337824485893014
FIFO,763.5226099165965,168.73129885091316,1500.7,38.05141258875943,325.7974999999998,3.7539137909653544,402.5599203945179,163.22349988585245,0.9977211148640512,0.0018699839912259789
PPO,755.95252186323,133.29951616392304,1502.8,32.72399731084209,326.53999999999985,5.669581113274549,411.3382271066068,141.10983662153077,0.9979687593042778,0.0011677211131112038
